# WIMBA impedance
# columns: frequency[Hz]  Re(Z)[Ohm]  Im(Z)[Ohm]
 5.11143348e+08  0.00000000e+00 -3.91279669e-06
 5.20092274e+08  0.00000000e+00 -3.84547147e-06
 5.29197874e+08  0.00000000e+00 -3.77930468e-06
 5.38462891e+08  0.00000000e+00 -3.71427638e-06
 5.47890118e+08  0.00000000e+00 -3.65036699e-06
 5.57482393e+08  0.00000000e+00 -3.58755725e-06
 5.67242607e+08  0.00000000e+00 -3.52582824e-06
 5.77173699e+08  0.00000000e+00 -3.46516136e-06
 5.87278661e+08  0.00000000e+00 -3.40553834e-06
 5.97560538e+08  0.00000000e+00 -3.34694123e-06
 6.08022426e+08  0.00000000e+00 -3.28935236e-06
 6.18667478e+08  0.00000000e+00 -3.23275438e-06
 6.29498899e+08  0.00000000e+00 -3.17713026e-06
 6.40519953e+08  0.00000000e+00 -3.12246323e-06
 6.51733960e+08  0.00000000e+00 -3.06873682e-06
 6.63144299e+08  0.00000000e+00 -3.01593485e-06
 6.74754405e+08  0.00000000e+00 -2.96404141e-06
 6.86567778e+08  0.00000000e+00 -2.91304088e-06
 6.98587975e+08  0.00000000e+00 -2.86291788e-06
 7.10818617e+08  0.00000000e+00 -2.81365731e-06
 7.23263390e+08  0.00000000e+00 -2.76524435e-06
 7.35926041e+08  0.00000000e+00 -2.71766440e-06
 7.48810386e+08  0.00000000e+00 -2.67090313e-06
 7.61920305e+08  0.00000000e+00 -2.62494645e-06
 7.75259749e+08  0.00000000e+00 -2.57978052e-06
 7.88832735e+08  0.00000000e+00 -2.53539174e-06
 8.02643352e+08  0.00000000e+00 -2.49176673e-06
 8.16695761e+08  0.00000000e+00 -2.44889235e-06
 8.30994195e+08  0.00000000e+00 -2.40675568e-06
 8.45542961e+08  0.00000000e+00 -2.36534404e-06
 8.60346442e+08  0.00000000e+00 -2.32464494e-06
 8.75409097e+08  0.00000000e+00 -2.28464612e-06
 8.90735464e+08  0.00000000e+00 -2.24533555e-06
 9.06330160e+08  0.00000000e+00 -2.20670136e-06
 9.22197882e+08  0.00000000e+00 -2.16873194e-06
 9.38343412e+08  0.00000000e+00 -2.13141583e-06
