# WIMBA impedance
# columns: frequency[Hz]  Re(Z)[Ohm]  Im(Z)[Ohm]
 5.38462891e+08  2.19795771e+00 -1.32603218e+03
 5.47890118e+08  1.95524661e+00 -1.25067720e+03
 5.57482393e+08  1.74962802e+00 -1.18308890e+03
 5.67242607e+08  1.57391803e+00 -1.12211049e+03
 5.77173699e+08  1.42259153e+00 -1.06680420e+03
 5.87278661e+08  1.29134301e+00 -1.01640186e+03
 5.97560538e+08  1.17677715e+00 -9.70268179e+02
 6.08022426e+08  1.07618734e+00 -9.27873220e+02
 6.18667478e+08  9.87394569e-01 -8.88771444e+02
 6.29498899e+08  9.08628679e-01 -8.52585548e+02
 6.40519953e+08  8.38439623e-01 -8.18993892e+02
 6.51733960e+08  7.75630431e-01 -7.87720600e+02
 6.63144299e+08  7.19205998e-01 -7.58527706e+02
 6.74754405e+08  6.68333557e-01 -7.31208861e+02
 6.86567778e+08  6.22311907e-01 -7.05584253e+02
 6.98587975e+08  5.80547231e-01 -6.81496477e+02
 7.10818617e+08  5.42533944e-01 -6.58807150e+02
 7.23263390e+08  5.07839416e-01 -6.37394128e+02
 7.35926041e+08  4.76091687e-01 -6.17149190e+02
 7.48810386e+08  4.46969536e-01 -5.97976111e+02
 7.61920305e+08  4.20194395e-01 -5.79789047e+02
 7.75259749e+08  3.95523721e-01 -5.62511174e+02
 7.88832735e+08  3.72745549e-01 -5.46073530e+02
 8.02643352e+08  3.51673974e-01 -5.30414041e+02
 8.16695761e+08  3.32145396e-01 -5.15476679e+02
 8.30994195e+08  3.14015386e-01 -5.01210744e+02
 8.45542961e+08  2.97156044e-01 -4.87570248e+02
 8.60346442e+08  2.81453783e-01 -4.74513379e+02
 8.75409097e+08  2.66807442e-01 -4.62002038e+02
 8.90735464e+08  2.53126693e-01 -4.50001434e+02
 9.06330160e+08  2.40330673e-01 -4.38479738e+02
 9.22197882e+08  2.28346816e-01 -4.27407768e+02
 9.38343412e+08  2.17109854e-01 -4.16758726e+02
 9.54771611e+08  2.06560948e-01 -4.06507953e+02
 9.71487431e+08  1.96646946e-01 -3.96632724e+02
 9.88495905e+08  1.87319729e-01 -3.87112061e+02
 1.00580216e+09  1.78535653e-01 -3.77926568e+02
 1.02341140e+09  1.70255055e-01 -3.69058282e+02
 1.04132894e+09  1.62441827e-01 -3.60490548e+02
 1.05956018e+09  1.55063033e-01 -3.52207897e+02
 1.07811060e+09  1.48088587e-01 -3.44195944e+02
 1.09698580e+09  1.41490957e-01 -3.36441296e+02
 1.11619146e+09  1.35244908e-01 -3.28931464e+02
 1.13573336e+09  1.29327277e-01 -3.21654791e+02
 1.15561739e+09  1.23716769e-01 -3.14600381e+02
 1.17584955e+09  1.18393780e-01 -3.07758038e+02
 1.19643593e+09  1.13340239e-01 -3.01118213e+02
 1.21738273e+09  1.08539463e-01 -2.94671951e+02
 1.23869625e+09  1.03976031e-01 -2.88410842e+02
 1.26038293e+09  9.96356712e-02 -2.82326986e+02
 1.28244929e+09  9.55051606e-02 -2.76412951e+02
 1.30490198e+09  9.15722309e-02 -2.70661738e+02
 1.32774776e+09  8.78254876e-02 -2.65066751e+02
 1.35099352e+09  8.42543363e-02 -2.59621767e+02
 1.37464626e+09  8.08489154e-02 -2.54320911e+02
 1.39871310e+09  7.76000359e-02 -2.49158630e+02
 1.42320130e+09  7.44991269e-02 -2.44129670e+02
 1.44811823e+09  7.15381858e-02 -2.39229061e+02
 1.47347139e+09  6.87097339e-02 -2.34452090e+02
 1.49926843e+09  6.60067750e-02 -2.29794290e+02
 1.52551712e+09  6.34227587e-02 -2.25251422e+02
 1.55222536e+09  6.09515463e-02 -2.20819459e+02
 1.57940120e+09  5.85873803e-02 -2.16494575e+02
 1.60705282e+09  5.63248558e-02 -2.12273129e+02
 1.63518856e+09  5.41588951e-02 -2.08151659e+02
 1.66381689e+09  5.20847239e-02 -2.04126863e+02
 1.69294643e+09  5.00978498e-02 -2.00195598e+02
 1.72258597e+09  4.81940425e-02 -1.96354862e+02
 1.75274442e+09  4.63693155e-02 -1.92601792e+02
 1.78343088e+09  4.46199094e-02 -1.88933654e+02
 1.81465458e+09  4.29422767e-02 -1.85347834e+02
 1.84642494e+09  4.13330672e-02 -1.81841832e+02
 1.87875153e+09  3.97891153e-02 -1.78413258e+02
